Product Type,Product Title,Variant Title,Variant ID,SKU,Price,Compare at Price,Wholesale Price
Gemstones,10x8 Cushion Rose Cut Gem Blue Mexican Chalcedony,Default Title,40188759769241,371-10910-1,120.00,,40
Gemstones,10x8mm African Ruby Hexagon Slices,Default Title,40188684107929,017-SLICE-10x8,247.56,,82.52
Gemstones,10x8mm African Ruby Hexagon Slices -Fine Red,Default Title,40188953723033,017-SLICE-10X8-FINE RED,435.00,,145
Gemstones,10x8mm and 14x10mm SugarLoaf Cabochon Cut Gem Blue Mexican Chalcedony,10x8mm,40188758720665,371-09710-1,90.00,,30
Gemstones,10x8mm and 14x10mm SugarLoaf Cabochon Cut Gem Blue Mexican Chalcedony,14x10mm,40188758753433,371-09715-1,125.00,,65
Gemstones,10x8mm Antique Cushion Cut Tashmarine,Default Title,40212825702553,215-01910-1_3-07,921.00,
Gemstones,10x8mm Antique Cushion Cut Tashmarine,Default Title,40212825800857,215-01910-1_3-09,927.00,
Gemstones,10x8mm Brilliant Emerald Cut Natural Arkansas White Quartz,Default Title,40188441231513,098-12010-1,21.75,,7.25
Gemstones,10x8mm Bronze Sapphire Hexagon Tablets,Default Title,40188914434201,030-13410-1,259.20,,86.4
Gemstones,10x8mm Checkerboard Oval Cut Fire Citrine®,Default Title,40188303016089,121-00110-1C_2-30,138.00,,46
Gemstones,10x8mm Concave Cathedral Cut Madeira Citrine,Default Title,40188309831833,122-31810-1,123.00,,41
Gemstones,10x8mm Concave Hourglass Cut Fire Citrine®,Default Title,40188307144857,121-31910-1,135.00,,45
Gemstones,10x8mm Concave Oval Cut Yellow Citrine,Default Title,40188301738137,120-30110-1_7.18,90.00,,30
Gemstones,10x8mm Concave Oval Madeira Citrine,Default Title,40188307931289,122-30110-1_2-51,120.48,,40.16
Gemstones,10x8mm Cushion Cut Arkansas Smoky Quartz,Default Title,40188911943833,099-01910-1,54.00,,18
Gemstones,10x8mm Cushion Cut Natural Color Change Sphene,Default Title,40212848836761,E146-01901-1T2_1-98,891.00,
Gemstones,10x8mm Cushion Cut Natural Red Clearwater Idaho Garnet,Default Title,40188375138457,048-01910-1,315.00,,105
Gemstones,10x8mm Cushion Cut Orange Malawi Mulanje Sapphire,Default Title,40212848935065,S031-01910-Y_3-19,1435.50,
Gemstones,10x8mm Cushion Cut Purple Sage Chalcedony (Dark Purple),Default Title,40188741386393,367-08910-1,126.00,,42
Gemstones,10x8mm Cushion Cut Purple Sage Chalcedony (Medium Purple),Default Title,40188741648537,367-08910-2,75.00,,25
Gemstones,10x8mm Cushion Cut Purple Sage Chalcedony (Smoky Purple),Default Title,40188741910681,367-08910-3,42.00,,14
Gemstones,10x8mm Cushion Cut Seafoam Tourmaline,Default Title,40212825145497,079-01910-1_3-14,2158.75,
