Product Type,Product Title,Variant Title,Variant ID,SKU,Price,Compare at Price,Wholesale Price
Beads,Rough Freeform Aquamarine Crystals with Half Drill_25-30,Default Title,40188707373209,063-XTL-HD_25-30,75.00,
Beads,Rough Freeform Aquamarine Crystals with Half Drill_30-35,Default Title,40188707307673,063-XTL-HD_30-35,90.00,
Beads,Rough Freeform Aquamarine Crystals with Half Drill_5-10,Default Title,40188707242137,063-XTL-HD_5-10,25.00,
Beads,Rough Freeform Aquamarine Crystals with Polished Ends and Half Drill,Default Title,40188706979993,063-XTL-PEHD,30.00,
Beads,South Dakota Rose Quartz Polished Baroque Rough Drilled Bead Strands,Default Title,40188845883545,101-NUGGET-SML,45.00,
Gemstones,"10, 12, 13 and 18mm Round Texas Star Cut Natural Arkansas White Quartz",18mm,40188445130905,098-10699-1,125.00,
Gemstones,"10, 12, 13 and 18mm Round Texas Star Cut Natural Arkansas White Quartz",12mm,40188445032601,098-10693-1,38.50,
Gemstones,"10, 12, 13 and 18mm Round Texas Star Cut Natural Arkansas White Quartz",13mm,40188445065369,098-10694-1,55.50,
Gemstones,"10, 12, 13 and 18mm Round Texas Star Cut Natural Arkansas White Quartz",10mm,40188444999833,098-10691-1,29.50,
Gemstones,10.1 x 6.7mm Oval Spessartite Garnet,Default Title,40188498378905,049-00000-1_2.92,584.00,
Gemstones,10.3mmx7.5mm Half Moon Cut Mesa Verde® Peridot,Default Title,40188765470873,160-00001-4_3.11,155.50,
Gemstones,10.3 x 8.2mm Oval Celery Green Montana Sapphire,Default Title,40188498116761,MT034-NAT_3.78,4158.00,
Gemstones,10.7mm Round Natural Color Change Sphene,Default Title,40188439330969,145-01001-3T5_4-96,1240.00,
Gemstones,10mm and 12mm Natural Radial Cut Modified Trillion Brazilian Green Quartz,12mm,40188814164121,125-30793-1,114.66,
Gemstones,10mm and 12mm Natural Radial Cut Modified Trillion Brazilian Green Quartz,10mm,40188814131353,125-30791-1,58.80,
Gemstones,10mm Checkerboard Round Double Sided Arkansas Quartz,Default Title,40188899000473,098-14091-1,36.00,
Gemstones,10mm Checkerboard Round Natural Red Clearwater Idaho Garnet,Default Title,40188375629977,048-01091-1,140.00,
Gemstones,10mm Concave Triangle Cut Fire Citrine®,Default Title,40188305539225,121-31291-1,65.00,
Gemstones,10mm Concave Triangle Cut Fire Citrine® 3.07ct,Default Title,40188305866905,121-31291-1_3-07,76.75,
Gemstones,10mm Concave Triangle Madeira Citrine 3.09ct,Default Title,40188308783257,122-31291-1_3-09,55.62,
Gemstones,10mm Concave Triangle Madeira Citrine 3.10ct,Default Title,40188309307545,122-31291-1_3-10,55.80,
Gemstones,10mm Concave Trillion Cut Blue Zircon,Default Title,40188392243353,130-31491-AA,1070.00,
